Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , L Looking At, L World X, L World Y, R Pixel X , R Pixel Y  , R Pixel Z, R hit point in Z , R Looking At, R World X, R World Y, C Pixel X , C Pixel Y  , C Pixel Z, C hit point in Z , C Looking At, C World X, C World Y, L Origin X , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
638152872716264406, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02976944, 0.00453923, -0.02699376
638152872720084410, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03468285, 0.0003250122, -0.04375858, 0, 0, 0
638152872720254403, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03440598, 0.0003614655, -0.04047124, 0, 0, 0
638152872720424499, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03418927, 0.0005246735, -0.04007561, 0, 0, 0
638152872720584402, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03422334, 0.0009238282, -0.04021457, 0, 0, 0
638152872720754483, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03433391, 0.0009669038, -0.03932099, 0, 0, 0
638152872720914408, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03440839, 0.001374069, -0.03976412, 0, 0, 0
638152872721084412, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03447885, 0.001652741, -0.03990689, 0, 0, 0
638152872722088531, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03425362, 0.002876984, -0.04000752, 0, 0, 0
638152872722258597, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03424652, 0.00273787, -0.03955544, 0, 0, 0
638152872730751744, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0.02600922, 0.003376236, -0.03262319
638152872730921394, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03715689, 0.001937012, -0.03282687, 0.02630389, 0.003641083, -0.03255835
638152872731091498, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03674373, 0.002056366, -0.03295951, 0.02672749, 0.003770905, -0.03233986
638152872731251419, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03620723, 0.002107605, -0.03287021, 0.02720937, 0.003915466, -0.03278771
638152872731423605, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03588835, 0.002271515, -0.03336513, 0.02748148, 0.004041382, -0.03300281
638152872731591429, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03491814, 0.002169846, -0.03291048, 0.02848567, 0.004351669, -0.0343084
638152872731751420, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03463689, 0.001820709, -0.03164473, 0.02883742, 0.004461899, -0.03454759
638152872731921382, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03436527, 0.002042404, -0.03228528, 0.02904671, 0.004500061, -0.03455547
638152872732092826, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03423499, 0.001947907, -0.03197256, 0.029153, 0.004460587, -0.03417101
638152872732261436, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03419522, 0.002015213, -0.03203809, 0.02912967, 0.004530823, -0.03416362
638152872732425488, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03410979, 0.001881607, -0.03175757, 0.02923256, 0.004603302, -0.03410396
638152872732591401, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03408199, 0.001800262, -0.03182155, 0.02931398, 0.004486802, -0.03377223
638152872732752616, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03399317, 0.001609589, -0.03159125, 0.02934546, 0.004319748, -0.03327139
638152872732921331, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03400536, 0.001492279, -0.03141509, 0.02936462, 0.004330719, -0.03335448
638152872733091332, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03401851, 0.001434647, -0.03146251, 0.02936254, 0.004266175, -0.03322379
638152872733252028, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03405884, 0.001498047, -0.0318655, 0.02934726, 0.004250107, -0.03331667
638152872733422164, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03413094, 0.001217972, -0.03123612, 0.02930853, 0.004252808, -0.03346639
638152872733582495, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03417856, 0.001320755, -0.03175354, 0.02922322, 0.004087784, -0.03308756
638152872733755470, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03432666, 0.001302628, -0.03182086, 0.02905554, 0.003978073, -0.03292865
638152872733922455, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03457751, 0.001089478, -0.0314345, 0.02885632, 0.003880738, -0.03289534
638152872734088718, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0347905, 0.000819748, -0.03114705, 0.02868164, 0.003503327, -0.03238185
638152872734252421, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03491062, 0.0007922974, -0.03225929, 0.02852204, 0.003148514, -0.03229323
638152872734422348, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03506504, 0.000167038, -0.0319169, 0.0283597, 0.002800003, -0.03233052
638152872734582361, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03511263, -0.0003722839, -0.03171698, 0.02837244, 0.002641907, -0.03262949
638152872734753773, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03513367, -0.0008896943, -0.03080737, 0.02837589, 0.002348999, -0.0320815
638152872734922424, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03499886, -0.0009380036, -0.03178766, 0.02845255, 0.00208757, -0.03209453
638152872735092453, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03485521, -0.001410584, -0.03172493, 0.02859587, 0.001775391, -0.03217368
638152872735256254, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03483777, -0.001585648, -0.03165383, 0.02861733, 0.001691772, -0.03220366
638152872735426227, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03477106, -0.001622513, -0.03190262, 0.02865558, 0.001560028, -0.03210809
638152872735588349, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03478716, -0.002096893, -0.03090418, 0.0286725, 0.001240021, -0.03160311
638152872735758422, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03473954, -0.002227249, -0.03111597, 0.02871709, 0.001192963, -0.03205434
638152872735928671, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03464964, -0.002058747, -0.03217212, 0.02875954, 0.001114502, -0.03245674
638152872736088366, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03464389, -0.00232251, -0.03190459, 0.02878832, 0.001126938, -0.03285687
638152872736248754, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03463558, -0.002601456, -0.03181682, 0.02880386, 0.0008480225, -0.03277425
638152872736421216, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03462592, -0.002900391, -0.03179171, 0.02882775, 0.0006029816, -0.03292624
638152872736588827, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03459368, -0.003050491, -0.03190552, 0.02883247, 0.0003978424, -0.03289052
638152872736758755, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03459891, -0.00321344, -0.03195078, 0.02884206, 0.0002507629, -0.0327872
638152872736918869, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.0345903, -0.003253861, -0.03196514, 0.02886443, 0.0002174378, -0.03295304
638152872737088757, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03454366, -0.003251846, -0.03202428, 0.02891626, 0.0002934723, -0.03333725
638152872737258823, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03447058, -0.00323082, -0.03208192, 0.02897661, 0.0001702118, -0.03315019
638152872737418753, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, 0, 0, 0, 0, N/A, 0, 0, -0.03435237, -0.003208664, -0.03216841, 0.02908545, 0.0001339874, -0.03324909
